,name,acp_type,election_year,dem_votes,oth_votes,rep_votes
306,LEHIGH,Middle Suburbs,2012,78283,1845,66874
307,LUZERNE,Middle Suburbs,2012,64307,1807,58325
308,LYCOMING,Rural Middle America,2012,15203,632,30658
309,MCKEAN,Rural Middle America,2012,0,0,0
310,MERCER,Rural Middle America,2012,24232,706,25925
311,MIFFLIN,Rural Middle America,2012,4273,159,11939
312,MONROE,Exurbs,2012,35221,829,26867
313,MONTGOMERY,Urban Suburbs,2012,233356,4463,174381
314,MONTOUR,Rural Middle America,2012,3053,126,4652
315,NORTHAMPTON,Middle Suburbs,2012,67606,1683,61446
316,NORTHUMBERLAND,Rural Middle America,2012,13072,622,19518
317,PERRY,Rural Middle America,2012,5685,323,13120
318,PHILADELPHIA,Big Cities,2012,588806,5054,96467
319,PIKE,Exurbs,2012,10210,283,12786
320,POTTER,Graying America,2012,1897,114,5231
321,SCHUYLKILL,Rural Middle America,2012,24546,903,32278
322,SNYDER,Rural Middle America,2012,4687,242,10073
323,SOMERSET,Rural Middle America,2012,9436,522,23984
324,SULLIVAN,Graying America,2012,1034,47,1868
325,SUSQUEHANNA,Rural Middle America,2012,6935,309,10800
326,TIOGA,Rural Middle America,2012,5357,305,11342
327,UNION,Rural Middle America,2012,6109,263,9896
328,VENANGO,Rural Middle America,2012,7945,407,13815
329,WARREN,Working Class Country,2012,6995,294,10010
330,WASHINGTON,Middle Suburbs,2012,40345,1175,53230
331,WAYNE,Working Class Country,2012,8396,315,12896
332,WESTMORELAND,Middle Suburbs,2012,63722,1918,103932
333,WYOMING,Rural Middle America,2012,5061,224,6587
334,YORK,Middle Suburbs,2012,73191,2734,113304
335,ADAMS,Rural Middle America,2004,13764,217,28247
336,ALLEGHENY,Urban Suburbs,2004,368912,4632,271925
337,ARMSTRONG,Rural Middle America,2004,12025,147,18925
338,BEAVER,Middle Suburbs,2004,42146,481,39916
339,BEDFORD,Rural Middle America,2004,6016,57,16606
340,BERKS,Middle Suburbs,2004,76309,1056,87122
341,BLAIR,Middle Suburbs,2004,18105,322,35751
342,BRADFORD,Rural Middle America,2004,8590,120,16942
343,BUCKS,Exurbs,2004,163438,1909,154469
344,BUTLER,Middle Suburbs,2004,30090,376,54959
345,CAMBRIA,Rural Middle America,2004,32591,344,34048
346,CAMERON,Graying America,2004,794,13,1599
347,CARBON,Working Class Country,2004,12223,301,12519
348,CENTRE,College Towns,2004,30733,387,33133
349,CHESTER,Exurbs,2004,109708,1079,120036
350,CLARION,Rural Middle America,2004,6049,72,11063
351,CLEARFIELD,Rural Middle America,2004,13518,182,20533
352,CLINTON,Rural Middle America,2004,5823,109,8035
353,COLUMBIA,Rural Middle America,2004,10679,138,16052
354,CRAWFORD,Rural Middle America,2004,16013,344,21965
355,CUMBERLAND,College Towns,2004,37928,506,67648
356,DAUPHIN,College Towns,2004,55299,613,65296
357,DELAWARE,Urban Suburbs,2004,162601,1512,120425
358,ELK,Rural Middle America,2004,6602,76,7872
359,ERIE,Rural Middle America,2004,67921,605,57372
360,FAYETTE,Rural Middle America,2004,29120,542,25045
361,FOREST,Graying America,2004,989,13,1571
362,FRANKLIN,Rural Middle America,2004,16562,190,41817
363,FULTON,Rural Middle America,2004,1475,24,4772
364,GREENE,Working Class Country,2004,7674,105,7786
365,HUNTINGDON,Graying America,2004,5879,53,12126
366,INDIANA,Rural Middle America,2004,15831,163,20254
367,JEFFERSON,Rural Middle America,2004,6073,116,13371
368,JUNIATA,Rural Middle America,2004,2797,65,7144
369,LACKAWANNA,Middle Suburbs,2004,59573,1480,44766
370,LANCASTER,Middle Suburbs,2004,74328,1359,145591
371,LAWRENCE,Middle Suburbs,2004,21387,117,21938
372,LEBANON,Middle Suburbs,2004,18109,467,37089
373,LEHIGH,Middle Suburbs,2004,73940,991,70160
374,LUZERNE,Middle Suburbs,2004,69573,1502,64953
375,LYCOMING,Rural Middle America,2004,15681,407,33961
376,MCKEAN,Rural Middle America,2004,0,0,0
377,MERCER,Rural Middle America,2004,24831,422,26311
378,MIFFLIN,Rural Middle America,2004,4889,187,11726
379,MONROE,Exurbs,2004,27967,404,27971
380,MONTGOMERY,Urban Suburbs,2004,222048,1802,175741
381,MONTOUR,Rural Middle America,2004,2666,55,4903
382,NORTHAMPTON,Middle Suburbs,2004,63446,1192,62102
